Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
AX,American Express,American Express,30006041298416,Gerson Beahan,688,09/2008,04/2013,26,9287,77443
JC,JCB,Japan Credit Bureau,6767156304337849372,Addison Will,588,11/2000,06/2004,15,8451,701915
MC,Mastercard,GE Capital,4236362874736038,Cory Walker,933,02/2003,02/2007,3,2336,82036
DC,Diners Club,Diners Club International,3851577005028312,Vernice Goodwin,714,06/2009,07/2012,20,1981,229260
MC,Mastercard,Chase,6363682550798857,Lorna Beer,269,12/2009,05/2013,18,8076,138754
MC,Mastercard,Wells Fargo,2229028718423298,Aric Huels,504,06/2014,06/2018,19,2371,550670
DS,Discover,Discover,62894705290865610,Alphonso Greenholt,760,10/2003,03/2007,10,2447,820260
DC,Diners Club,Diners Club International,4697725135730663,Etha Brown,910,03/2006,07/2010,21,4954,918675
AX,American Express,American Express,2299731459594020,Israel Mills,531,06/2009,07/2012,18,9869,726010
MC,Mastercard,Chase,4011787436820220,Shyanne Bergstrom,929,06/2005,08/2009,16,9511,426881
JC,JCB,Japan Credit Bureau,6376098344546772,Lawson Kautzer,634,04/2009,01/2013,23,3374,581012
EO,Elo,Barclays,6062826726152994,Modesto Frami,912,12/2011,07/2015,12,6653,133643
UP,UnionPay,Bank of America,6062826650477854,Peggie Beahan,584,06/2017,08/2020,13,6673,890357
MC,Mastercard,Capital One,35894601272430679,Weldon Kuhic,865,06/2001,05/2006,16,8806,573373
JC,JCB,Japan Credit Bureau,621003450945911169,Savion Price,257,02/2003,10/2006,24,8017,364763
HC,Hipercard,Wells Fargo,6062823423400545,Shaylee Pfeffer,518,06/2007,10/2010,17,4354,67047
EO,Elo,Capital One,67804103665023502,Mandy Turcotte,367,06/2020,03/2024,20,9026,690796
UP,UnionPay,Wells Fargo,6505984963512944,Arianna Mills,584,02/2004,10/2008,6,6582,278193
MT,Maestro,Bank of America,6062827378295313,Trinity Gleason,779,11/2008,07/2012,22,9104,655160
HR,Hiper,Bank of America,370930451318745,Cassie Murray,502,11/2013,08/2018,9,3401,116166
MT,Maestro,Bank of America,379048072402870,Jamey Gerhold,231,12/2010,05/2015,16,8093,510473
DC,Diners Club,Diners Club International,371882551867494,Hilton Keebler,244,10/2011,05/2016,13,8135,501408
AX,American Express,American Express,4936984016120432874,Jadyn Balistreri,168,01/2014,03/2017,1,6242,612654
HC,Hipercard,Barclays,375804225473133,Akeem Schamberger,7989,11/2001,10/2006,11,4340,447313
MC,Mastercard,Chase,35289551843650664,Alva Nader,933,11/2011,04/2016,9,4723,829798
UP,UnionPay,U.S. Bancorp,6062828794624870,Abigail Jerde,748,11/2010,09/2015,4,4454,809798
VI,Visa,Capital One,624114768447834526,Cordell Sipes,256,10/2002,05/2007,4,4141,841376
VI,Visa,U.S. Bancorp,2700097558353103,Precious Sanford,489,08/2020,10/2023,26,5356,491570
DS,Discover,Discover,500000345065382,Ellis Mills,846,01/2004,03/2008,24,3411,360786
MC,Mastercard,Wells Fargo,4361669674736159,Jermaine Keebler,402,10/2015,02/2019,4,8337,961004
JC,JCB,Japan Credit Bureau,6062827466555594,Ruben Boyer,736,10/2013,08/2017,26,5330,905746
HR,Hiper,Bank of America,2672394498280098,Peter Leffler,502,07/2005,03/2010,25,2976,636304
VI,Visa,GE Capital,6292341386443019284,Maybell Ortiz,380,07/2015,08/2018,3,7922,561371
JC,JCB,Japan Credit Bureau,6218485615614194828,Jacklyn Orn,134,11/2006,01/2011,15,4642,281816
EO,Elo,Capital One,6732174224388,Camila Jaskolski,976,10/2002,02/2007,24,2170,3273
JC,JCB,Japan Credit Bureau,56417656320533753,Judson Bartell,230,09/2003,01/2008,12,9526,469546
DS,Discover,Discover,4981784647556673,Dawn Leffler,655,04/2008,07/2011,3,4513,503499
MT,Maestro,Chase,6011723079419145140,Rhett Will,155,08/2017,11/2021,10,7374,952816
UP,UnionPay,Barclays,6062825543022638,Shyann Cronin,322,08/2017,04/2022,14,4134,521726
DC,Diners Club,Diners Club International,2131201699241271,Adela Wilkinson,1440,02/2017,02/2021,24,7955,196836
UP,UnionPay,Chase,4573939711490589,Orval Erdman,252,06/2018,01/2022,1,6830,712792
AX,American Express,American Express,376784566367475,Erin Fisher,451,08/2020,04/2025,26,2196,892702
HR,Hiper,Bank of America,3895131051446282019,Thalia Carroll,4692,11/2001,01/2005,18,3860,306121
AX,American Express,American Express,6062822973920738,Valentina Price,596,06/2004,04/2008,1,1801,546775
JC,JCB,Japan Credit Bureau,6375681996431798,Obie Bosco,315,11/2004,12/2007,26,7375,38868
DC,Diners Club,Diners Club International,6062827038827828,Shirley Lesch,844,01/2001,09/2005,15,1591,440521
DC,Diners Club,Diners Club International,62777922214158,Levi Champlin,749,06/2001,02/2006,3,6106,741880
DC,Diners Club,Diners Club International,4616570858940794,Nikki Brakus,457,10/2006,09/2011,17,3131,941734
JC,JCB,Japan Credit Bureau,3528401455861018057,Orlando Dare,747,10/2013,07/2018,8,7975,573049
UP,UnionPay,Chase,6011348978092491546,Ross Pagac,152,04/2017,07/2021,8,8688,794413
UP,UnionPay,GE Capital,6376098750038553,Sabrina Wilkinson,440,11/2001,12/2004,1,6519,518285
HC,Hipercard,Barclays,38998080599682,Modesta Goodwin,362,08/2015,03/2020,19,6486,485545
